,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR Total Costs,Total_Expected_Annual_Damage,Total_Dike_Investment_Costs,Total_Expected_Number_of_Deaths
200,79,279.1653907171109,1.0,0.1574138900533849,274.15112740294546,1.5,0.4773913213597588,219.1514567467038,1.0,0.6632952952781077,215.4400707856428,1.0,0.7229178534555788,271.3481898818076,10.0,0.9131360585107796,1.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,Policy 1,dikesnet,3209630003.784716,0,1.7054502870713022,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3209630003.784716,0,1.7054502870713022
722,82,101.72031771896806,1.0,0.2788816841768914,307.9876924255375,10.0,0.7151992512235341,298.57636512941355,1.0,0.3135149868553913,80.24050532596058,1.5,0.2117654754886172,202.7089088169164,1.5,0.0354707476134044,1.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1722,Policy 1,dikesnet,2595244273.034837,0,1.7171051561197952,0.0,0,0.0,228617832.4951456,0,0.4003135121441909,15226530.260194795,0,0.0067665535972849,350670330.5762869,0,0.2957638710872019,0.0,3189758966.3664646,0,2.419949092948473
375,85,208.02583037608477,1.0,0.1679535886973652,206.17071444099264,1.0,0.6529301081209803,311.5026348536292,10.0,0.0962189214157497,152.2440409613115,10.0,0.7281048539639807,102.48944012296909,10.0,0.3603815747890287,3.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375,Policy 1,dikesnet,2751976663.406272,0,1.6970483704855308,0.0,0,0.0,427446004.5441631,0,0.6528306453121798,0.0,0,0.0,0.0,0,0.0,0.0,3179422667.950435,0,2.3498790157977107
363,120,135.55213812458408,1.5,0.273824302152042,147.6829089822886,1.5,0.0489780109300696,290.8397364181988,10.0,0.686728105171794,324.8731753902694,1.0,0.4602074780546287,180.8118636936165,10.0,0.155933055616966,4.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363,Policy 1,dikesnet,2636538778.7204585,0,1.7069934923197725,534733831.3309563,0,0.4334681216178329,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3171272610.051415,0,2.1404616139376054
59,19,38.68484727291589,1.0,0.2106627375269791,333.5224336297554,10.0,0.5163538406311521,177.82518121359047,1.0,0.1806412669149088,108.42987063412272,10.0,0.1820547310417387,69.40548504741277,10.0,0.1433213843772317,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059,Policy 1,dikesnet,2156010975.40004,0,1.727174095500224,33736869.887232006,0,0.0386884000428189,973384316.865283,0,1.9988142487833045,1614715.8288748094,0,0.0008337336058049,0.0,0,0.0,0.0,3164746877.9814296,0,3.765510477932152
2,26,322.8009971240628,1.5,0.102374065902609,95.91627770974186,10.0,0.3405484156868132,221.02112598170592,1.5,0.0646124921165981,341.06104029957385,10.0,0.4217374908788729,99.06887461087352,10.0,0.5303546426243797,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,Policy 1,dikesnet,3039769282.5448923,0,1.7137563874139,0.0,0,0.0,124901935.20459218,0,0.1718733452113274,0.0,0,0.0,0.0,0,0.0,0.0,3164671217.7494845,0,1.885629732625228
736,2,307.78416471501345,1.5,0.2855444654641937,122.28877519065168,10.0,0.8365265570192166,140.5389922849144,1.5,0.1130206857477756,330.16632274185463,1.0,0.57244051276215,196.9497637013504,10.0,0.0335920805238245,4.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1736,Policy 1,dikesnet,2501255186.625564,0,1.7475968972743583,0.0,0,0.0,650119117.1550021,0,1.1073771006985542,0.0,0,0.0,1641528.5638002895,0,0.0013872962703365,0.0,3153015832.3443666,0,2.856361294243249
517,105,137.37730107480752,1.0,0.409099108810928,338.86230421458475,1.5,0.2804367582821335,97.6903211577895,10.0,0.1272230835962244,214.97871253754784,10.0,0.513402007884944,95.5334733498171,10.0,0.4667957517666521,1.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1517,Policy 1,dikesnet,1099279330.2077663,0,0.7014282179984865,52002566.78857065,0,0.0439466155175544,1977564147.191852,0,3.120293760523159,0.0,0,0.0,0.0,0,0.0,0.0,3128846044.188189,0,3.8656685940392
199,60,153.5743479394289,1.5,0.0354193654091133,309.69698738365184,10.0,0.7669842049880843,53.94671459184764,1.5,0.1578954868971024,60.3707249388377,1.0,0.531499126493888,238.8332301157132,1.5,0.4716427948958516,1.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,Policy 1,dikesnet,2687075971.390238,0,1.7481349134437556,0.0,0,0.0,426035802.72913766,0,0.6990992883404981,0.0,0,0.0,0.0,0,0.0,0.0,3113111774.119375,0,2.4472342017842537
139,87,252.454144826026,10.0,0.3140047723543571,301.8629930229599,10.0,0.7423153587439691,251.20783914845896,10.0,0.5753594614321603,159.77590183411243,10.0,0.4583434169741858,296.3710477547787,1.0,0.0097999053308193,3.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,Policy 1,dikesnet,2808220161.16393,0,1.7407042956028076,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,304038653.40681624,0,0.2241151956663987,0.0,3112258814.5707464,0,1.9648194912692063
