Policy Name,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR Total Costs,Total_Expected_Annual_Damage,Total_Dike_Investment_Costs,Total_Expected_Number_of_Deaths,Urban Damages Ratio,Urban Deaths Ratio,Industrialized Farmers Damages Ratio,Industrialized Farmers Deaths Ratio,Urban Damages Ratio Exceeded,Urban Deaths Ratio Exceeded,Industrialized Farmers Damages Ratio Exceeded,Industrialized Farmers Deaths Ratio Exceeded
s248_p195,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,3,5,5,3,4,10,1,10,3,10,1,1,3,1,4,0,0.0,2259196887.1699886,0.0,0.0,7523486251.358226,0.0,0.0,11336925929.499256,0.0,433010.0821119029,73663888.96697061,4.648882887836079e-05,20560340.0972265,203185648.4487434,0.0034195382273034,479100000.0,20993350.179338403,21396458605.443184,0.0034660270561818,0.9793739408711396,0.9865872862142128,0.9793739408711396,0.9865872862142128,False,False,False,False
s982_p346,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,3,0,1,0,2,1,2,9,1,3,7,6,0,10,9,1,308024921.2215963,53972506.18695759,0.0341107789032591,0.0,347407584.98814714,0.0,0.0,1244580426.0442314,0.0,0.0,737424581.8042556,0.0,0.0,8538151315.061268,0.0,816000000.0,308024921.2215963,10921536414.08486,0.0341107789032591,,,,,False,False,False,False
s632_p208,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,7,5,6,1,2,5,4,2,6,1,6,10,4,5,0.0,2895512967.290173,0.0,0.0,1118393672.0158725,0.0,0.0,589975026.7148345,0.0,0.0,680291972.7589211,0.0,0.0,4683454761.802971,0.0,1729100000.0,0.0,9967628400.582771,0.0,,,,,False,False,False,False
s541_p149,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,4,1,6,4,9,6,9,8,5,6,3,7,10,1,7,4,0.0,1692859070.629364,0.0,0.0,33100634264.373592,0.0,0.0,3135659904.199149,0.0,0.0,5131254649.341551,0.0,62063368.33848528,1163150028.6000986,0.0051403093754053,1140100000.0,62063368.33848528,44223557917.14376,0.0051403093754053,1.0,1.0,1.0,1.0,False,False,False,False
