,A3ExpectedAnnualDamage,A3ExpectedNumberofDeaths,A3DikeInvestmentCosts,A5ExpectedAnnualDamage,A5ExpectedNumberofDeaths,A5DikeInvestmentCosts,Total_Dike_Investment,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths,scenario
s541_p904,236068477393243.8,0.0007665669309686831,30.608051763376587,3597063874708576.0,0.002914685599302505,182.16656358978693,407444.710719954,6403758695521137.0,0.00610360657492935,1
s541_p231,236689995641.64865,2.3382454657966822e-08,1571.3791205501946,1706770439932.288,3.3488430307965086e-08,13952.63394659941,52233.19849624313,1617090662591291.5,1.5473826391088107e-05,1
s541_p762,1.878749931962358e+16,0.05115160424643243,18.371482473922057,6528162013307329.0,0.005317996225901811,39.12267859092562,0.0,2.2419065113340298e+17,0.18330113613093402,1
s541_p749,484058001333182.56,0.0016809429141728478,0.0,73534634156166.06,6.055536396619536e-05,1331.1476932212533,0.0,4.349709301882119e+16,0.037319687989747594,1
s541_p1035,74930821156.85692,4.0513988705093723e-07,183913.40594312287,2.367044500367721e+16,0.019628905903978852,1.3003489623051914,363667.4935906717,3.0340418652719292e+16,0.022282354946716675,1
s541_p301,4435023098247269.5,0.011944776330601424,39.5003710884625,393633939107.08685,3.0350364174315654e-07,183360.0316177974,319844.38133710105,1.5456540154973406e+16,0.02375296611388273,1
s541_p501,6460275356095479.0,0.017472647773109782,57.89060442913924,141826055896891.1,0.00012237544572795864,706.3311628301019,5803.363916327693,1.9229376624457715e+17,0.1236575761286863,1
s541_p213,305849656957.028,1.8748860575701017e-08,382.56137461526447,816299066951.9076,1.0844310294949279e-08,615770.9920323753,807157.1366466774,199766973190231.7,1.9421489651199463e-06,1
s541_p801,3505201308686.301,1.7080996043084734e-05,1172.251104841407,1.663161356931905e+16,0.013958408058142456,25.325924640909527,75373.99630941308,2.303633400363123e+16,0.019481462175567562,1
s541_p742,3.671039452115698e+16,0.09962835505032426,0.4683813111810471,553918686698.2306,4.409841609768841e-07,0.0,0.0,1.1161469172220442e+17,0.1757475868308478,1
s541_p302,19437015889228.36,7.180971541685257e-05,47.90535990288012,5944131484863904.0,0.0048706812495337886,64.38779190918687,970898.1470064376,6249308628210639.0,0.005360482689944359,1
s541_p149,50438638472.785866,3.78855094946596e-09,2990.398315619612,4557351267554671.0,5.304996546497347e-05,554.6331542015544,0.0,4759671786167592.0,5.4294299951504585e-05,1
