0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A3ExpectedAnnualDamage,A3ExpectedNumberofDeaths,A3DikeInvestmentCosts,A5ExpectedAnnualDamage,A5ExpectedNumberofDeaths,A5DikeInvestmentCosts,Total_Dike_Investment,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths,Policy Name,Urban Damages Ratio,Urban Deaths Ratio,Urban Damages Ratio Exceeded,Urban Deaths Ratio Exceeded
1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,2,6,3,3,2,6,0,6,0,2,5,5,6,1,1,0,0.0,0.0,350755984.112798,238739270.8088904,0.026203930038852,80062858.44864091,4389761750.203609,286898862.51483727,0.0324591731934294,s4842_p166,0.8321373905640486,0.8072888943504073,False,False
1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,3,6,7,7,4,3,4,4,1,1,6,5,3,1,0,0,56609788.84469049,0.0102790801136478,225016259.22587368,148518905.92640066,0.0126528982305794,36676675.840294495,15020234360.044428,216738655.52794635,0.0241905532965002,s4842_p170,0.946433363589089,0.9479724611154272,False,False
1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,2,5,6,4,2,6,7,5,7,6,7,7,4,0,1,0,0.0,0.0,2670151799.853898,55539961.06398831,0.0054700227466044,36676675.840294495,12698248595.70572,104012174.5070216,0.0117843764314952,s4842_p19,0.5339755786015121,0.4641758330109932,False,False
1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,2,6,5,4,7,7,0,7,7,1,4,8,7,6,1,0,0.0,0.0,1754413494.8589466,0.0,0.0,428683135.2518352,12399902982.269688,0.0,0.0,s4842_p38,,,False,False
0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,3,2,0,1,3,2,1,2,1,0,7,7,5,6,5,0,498159807.7474834,0.0849502061312422,84513741.32644606,0.0,0.0,919361965.9246992,3669651089.5626354,534449096.2587785,0.0886555183072391,s4842_p204,0.9320996353715902,0.9582055099699942,False,False
1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,2,2,6,9,1,3,1,5,2,0,7,6,6,1,4,4,0.0,0.0,255765802.7164687,58445164.49154896,0.0066209994816735,529235144.2680841,13630267797.936544,183298132.6121585,0.0221422587822139,s4842_p24,0.3188530273530576,0.2990209601827939,False,False
0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,4,2,7,2,5,1,3,1,6,7,0,8,0,3,0,20659403.076067585,0.0265652599590002,564617427.2059604,67359532.37157896,0.0536221184093191,90999229.1305994,6256409457.3093815,135523290.85384592,0.1210763395217351,s4842_p162,0.6494746024325067,0.6622877655953945,False,False
1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,6,5,10,2,6,2,4,3,4,5,2,6,3,3,0,0.0,0.0,564154495.3314669,0.0,0.0,241632925.13513744,28126276707.927845,64122670.74930343,0.0555132699227001,s4842_p199,0.0,0.0,False,False
1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,5,0,4,1,5,0,2,7,3,5,1,5,0,2,2,5206343.306531934,0.0080971893782699,828708971.1217399,41407488.139833264,0.0276676373576497,139585453.35466468,2925336065.1282616,134881391.82630748,0.1099740059404241,s4842_p104,0.3455912695977501,0.3252116391512952,False,False
1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,3,1,5,4,3,7,6,3,4,3,3,7,6,1,5,0,18888470.6056612,0.0035776801718356,454372005.3847718,111997804.95531872,0.0114430763101964,291894073.2739918,8445886112.128036,153490672.88651264,0.0174164492098238,s4842_p27,0.8527311340784474,0.862446547001067,False,False
