,A3ExpectedAnnualDamage,A3ExpectedNumberofDeaths,A3DikeInvestmentCosts,A5ExpectedAnnualDamage,A5ExpectedNumberofDeaths,A5DikeInvestmentCosts,Total_Dike_Investment,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths,scenario
s982_p738,373449415388.7539,1.6264390697354516e-06,14840.299176468023,6.1507037999460456e+16,0.05025166972707195,0.0,52292.62750807101,8.173709293837768e+16,0.0599507591790747,3
s982_p889,872730753119.6174,3.0889041433227006e-06,72.14382730538911,3743792401269.672,3.4465980605016683e-06,130.54997397626676,0.0,7166833454750.312,9.944760291631815e-06,3
s982_p117,6449675909.195245,4.784154575656259e-09,1149.814816367344,253343136638883.84,2.861097310885953e-05,5.581996123121329,80563.60443301112,1113017704347855.0,0.00012166858542399883,3
s982_p435,3143366855.8592334,2.424034089682119e-09,0.0,4547721800129829.0,0.0004828664210949406,14.402444668718427,0.0,5208602184939774.0,0.0005223108038959156,3
s982_p510,0.0,0.0,91758.72324168478,3.2263154809437576e+16,0.027087266942913198,0.0,141685.2305157497,3.253760250065121e+16,0.027266303401250386,3
s982_p392,4567905385.503465,3.368160895872627e-09,531.8709203396992,669028733663180.4,7.067734085468638e-05,0.0,217169.6687585229,779089758859456.0,7.561844631420148e-05,3
s982_p346,0.0,0.0,0.0,0.0,0.0,16285.231237528355,0.0,8.398459563737386e+17,0.005650710256589882,3
