,A3ExpectedAnnualDamage,A3ExpectedNumberofDeaths,A3DikeInvestmentCosts,A5ExpectedAnnualDamage,A5ExpectedNumberofDeaths,A5DikeInvestmentCosts,Total_Dike_Investment,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths,scenario
s248_p195,0.0,0.0,0.0,6358999129956055.0,7.713262982692082e-05,6.055404199622374,81621.0121362426,8510619453616190.0,9.141412604913667e-05,0
s248_p505,2.2774701304496004e+16,0.0009635233089122776,71.91395185390026,189416597172623.12,2.4440011443743235e-06,60.50131648708008,126743.9415396962,8.730078951522152e+16,0.0019496740427258246,0
s248_p28,3992578702.4895277,3.0610573442689977e-10,12436.047903593604,21669171626759.73,2.596637706459047e-07,659.3330835724926,28308.477941534526,241986160340456.22,1.5540276453740687e-06,0
s248_p396,3886865317936.748,2.1904039554530587e-07,4168.756107786009,147052482996328.06,1.7262110731097961e-06,47.24300022086333,3782636.148643324,456264707109090.8,3.7899374574470866e-06,0
s248_p693,7433333104024952.0,0.020517337060782546,0.0,12436278716.15885,9.739620496632643e-09,6251.498321365768,7563.008987112261,9.735244720444237e+16,0.07252783506480011,0
s248_p63,1383993351962.8408,7.389833638157605e-08,0.0,39958858814382.68,4.473914753968923e-07,15.207897870290743,212680.70492503088,68224192281933.36,8.918288111101958e-07,0
s248_p719,3.347509892261927e+16,0.001385182192314215,9.140228608528734,1423507014135.733,2.082733767923781e-08,344.6891951743707,1515.1622406646272,1.372351442541171e+17,0.0024365098827364446,0
s248_p543,14270954060440.662,7.01851142347311e-05,0.0,1.738916027936142e+16,0.014399692202420128,8.31994136301665,94328.87763557023,7.005364518290407e+16,0.04625188371224452,0
s248_p184,701957692641077.2,0.002026418154919486,621.0734599747609,1973572590604780.8,0.0016112943945146548,12.88303241410846,5562.917506796214,2.7376503277498364e+16,0.018775027898064994,0
s248_p57,24579711399937.543,1.401298392251019e-06,0.0,1300764278036461.5,1.4824215913231625e-05,26.71092111887056,45324.81639434303,1439646170041092.8,1.9859635852073008e-05,0
s248_p296,5373615707018475.0,0.00021797989503416257,93.5579654808647,2376915567398.0073,2.7477537130569405e-08,12778.525898885035,0.0,6413313578535723.0,0.0002327106975492692,0
s248_p711,1.528529540849326e+16,0.04108461183340049,30.85139834094629,3.3288645904744636e+16,0.027686456949587598,0.0,13079.220275240925,9.81782998210047e+16,0.1185458385776017,0
s248_p903,1049485629964738.8,0.00038959000867492833,0.0,36702643901807.6,4.0267768614107914e-06,0.0,42712.903992586755,1904519100054874.5,0.0005084892042594921,0
s248_p684,6314367200682700.0,0.017932017730841358,1.2593528826005167,383482483521385.06,0.00032370620780063254,0.0,839128.8806497634,8698802948194861.0,0.021510190220369995,0
s248_p461,2.5216122867599476e+16,0.07127702343384214,0.0,1692876068896.006,1.319164679961989e-06,0.0,63669.365625539125,2.944489774157422e+16,0.07411655118074173,0
s248_p290,74528215558.44458,4.739041528328817e-09,256.2909096062777,427198335783194.56,5.451893826234442e-06,68.44759697348537,0.0,3.763203683652443e+17,0.0026036611788685703,0
s248_p74,4432972105467407.5,0.011862768261673267,68.92151117588817,27075654791335.484,2.4962881056052482e-05,0.0,50321.85365757094,6825011854453008.0,0.013635705158938038,0
s248_p579,128338645449.55222,8.431058656867732e-09,0.0,42653459507505.61,5.180108814585584e-07,0.0,8159.238018617237,171558672542353.2,1.35341730680459e-06,0
s248_p610,875909556900533.4,0.0025306747118619406,0.0,1597035397292105.5,0.0013909505126001103,64.38779190918687,58961.667764875594,2.045484388795196e+17,0.099893950659991,0
